time,coherence_L,coherence_S,purity_L,purity_S,entropy_L,entropy_S,coherence_L_noisy,purity_L_noisy,err_coh_L,err_pur_L
0.0,0.4999999999999999,0.4999999999999999,0.9999999999999996,0.9999999999999996,2.763202031665071e-11,2.763202031665071e-11,0.5074507122951684,0.9884475315875101,0.014999999999999996,0.029999999999999985
0.001,0.45241874999999987,0.4999999999999999,0.9093654507031246,0.9999999999999996,0.19133083465553524,2.763202031665071e-11,0.4505421491308351,0.8908983663061519,0.013572562499999996,0.027280963521093736
0.002,0.40936545070312486,0.4999999999999999,0.8351601444587449,0.9999999999999996,0.3040034855045385,2.763202031665071e-11,0.41731969001257,0.8504855741912547,0.012280963521093745,0.025054804333762344
0.003,0.3704092110005887,0.4999999999999999,0.7744059671881571,0.9999999999999996,0.385608072099901,2.763202031665071e-11,0.3873335396238618,0.7983583326598273,0.011112276330017662,0.023232179015644713
0.004,0.3351601444587452,0.4999999999999999,0.7246646448672137,0.9999999999999996,0.4476090204029459,2.763202031665071e-11,0.33280577809181194,0.7449106181709508,0.010054804333762355,0.02173993934601641
0.005,0.30326546721168984,0.4999999999999999,0.6839398872062489,0.9999999999999996,0.49584206478584547,2.763202031665071e-11,0.3011352976024683,0.6667206570610169,0.009097964016350695,0.020518196616187465
0.006,0.2744059671881574,0.4999999999999999,0.650597269656936,0.9999999999999996,0.5338975071213874,2.763202031665071e-11,0.2874063297892146,0.6445620878327479,0.008232179015644723,0.01951791808970808
0.007,0.24829280933561437,0.4999999999999999,0.6232986383355433,0.9999999999999996,0.5642029250091299,2.763202031665071e-11,0.25400926508210714,0.6294929197072694,0.007448784280068431,0.0186989591500663
0.008,0.22466464486721396,0.4999999999999999,0.6009484053066225,0.9999999999999996,0.5884935888388412,2.763202031665071e-11,0.22150041598150408,0.6185359739600874,0.006739939346016419,0.018028452159198675
0.009000000000000001,0.2032849956000377,0.4999999999999999,0.5826495788722145,0.9999999999999996,0.6080551850087054,2.763202031665071e-11,0.2065938250822316,0.5742738588356053,0.006098549868001131,0.017479487366166432
0.01,0.18393988720624913,0.4999999999999999,0.567667764210895,0.9999999999999996,0.6238639355193597,2.763202031665071e-11,0.18138265726188998,0.5645059857252421,0.005518196616187474,0.01703003292632685
0.011,0.16643570768998445,0.4999999999999999,0.5554016895885316,0.9999999999999996,0.6366741368525677,2.763202031665071e-11,0.164110285856152,0.5369678801741167,0.004993071230699533,0.016662050687655947
0.012,0.15059726965693632,0.4999999999999999,0.5453590752562477,0.9999999999999996,0.6470761214686064,2.763202031665071e-11,0.15169043538067137,0.5257882111065267,0.004517918089708089,0.01636077225768743
